"id,""school_id"",""name"",""size"",""owner"",""plant"",""created_at"",""updated_at"""
"7,""8"",""U211"",""50"",""test"",""Rumput"",""2025-07-10 22:27:17"",""2025-07-10 22:27:17"""
"id,""shed_id"",""type_id"",""code"",""name"",""weight"",""number"",""classification"",""condition"",""birth_date"",""gender"",""created_at"",""updated_at"",""group_id"""
"64,""33"",""3"",""353509-STGL1-F00125"",""Sana"",""34"",NULL,""buying"",""pregnant"",""2024-01-10"",""female"",""2025-07-10 20:17:56"",""2025-07-25 14:47:39"",""14"""
"65,""33"",""2"",""353509-STGL1-F00225"",""Pika"",""32"",NULL,""buying"",""pregnant"",""2024-01-10"",""female"",""2025-07-10 20:18:39"",""2025-07-25 14:47:58"",""15"""
"66,""33"",""2"",""353509-STGL1-F00325"",""Riko"",""32"",NULL,""buying"",""pregnant"",""2024-01-10"",""female"",""2025-07-10 20:19:19"",""2025-07-25 14:48:18"",""14"""
"67,""33"",""3"",""353509-STGL1-F00425"",""Lona"",""33"",NULL,""buying"",""pregnant"",""2024-01-10"",""female"",""2025-07-10 20:21:05"",""2025-07-25 14:48:31"",""15"""
"68,""33"",""3"",""353509-STGL1-F00525"",""Zeki"",""30"",NULL,""buying"",""pregnant"",""2024-01-10"",""female"",""2025-07-10 20:22:06"",""2025-07-25 14:48:43"",""14"""
"69,""33"",""3"",""353509-STGL1-F00625"",""Miko"",""35"",NULL,""buying"",""pregnant"",""2024-01-10"",""female"",""2025-07-10 20:22:41"",""2025-07-25 14:48:53"",""15"""
"70,""33"",""2"",""353509-STGL1-F00725"",""Dula"",""37"",NULL,""buying"",""pregnant"",""2024-01-10"",""female"",""2025-07-10 20:24:03"",""2025-07-25 14:49:04"",""14"""
"71,""33"",""3"",""353509-STGL1-F00825"",""Gana"",""35"",NULL,""buying"",""pregnant"",""2024-01-10"",""female"",""2025-07-10 20:24:47"",""2025-07-25 14:49:31"",""15"""
"72,""33"",""3"",""353509-STGL1-F00925"",""Tani"",""25"",NULL,""buying"",""pregnant"",""2024-01-10"",""female"",""2025-07-10 20:25:32"",""2025-07-25 14:49:53"",""14"""
"73,""33"",""2"",""353509-STGL1-F01025"",""Nuri"",""29"",NULL,""buying"",""pregnant"",""2024-01-10"",""female"",""2025-07-10 20:26:06"",""2025-07-25 14:50:01"",""15"""
"75,""34"",""3"",""353528-KSGH1-F00125"",NULL,""26"",NULL,""buying"",""pregnant"",""2025-06-14"",""female"",""2025-07-11 05:54:24"",""2025-07-11 05:54:24"",""16"""
"76,""34"",""1"",""353528-KSGH1-F00225"",NULL,""21"",NULL,""buying"",""pregnant"",""2024-06-14"",""female"",""2025-07-11 05:55:34"",""2025-07-11 05:55:34"",""16"""
"77,""34"",""3"",""353528-KSGH1-F00325"",NULL,""23"",NULL,""buying"",""pregnant"",""2024-06-14"",""female"",""2025-07-11 05:56:58"",""2025-07-11 05:56:58"",""16"""
"78,""34"",""1"",""353528-KSGH1-F00425"",NULL,""21"",NULL,""buying"",""pregnant"",""2024-06-14"",""female"",""2025-07-11 05:57:46"",""2025-07-11 05:57:46"",""16"""
"79,""34"",""3"",""353528-KSGH1-F00525"",NULL,""26"",NULL,""buying"",""pregnant"",""2024-06-14"",""female"",""2025-07-11 05:58:38"",""2025-07-11 05:58:38"",""16"""
"80,""34"",""1"",""353528-KSGH1-F00625"",NULL,""39"",NULL,""buying"",""pregnant"",""2024-06-14"",""female"",""2025-07-11 05:59:31"",""2025-07-11 05:59:31"",""18"""
"81,""34"",""3"",""353528-KSGH1-F00725"",NULL,""23"",NULL,""buying"",""pregnant"",""2024-06-14"",""female"",""2025-07-11 06:00:16"",""2025-07-11 06:00:16"",""18"""
"82,""34"",""3"",""353528-KSGH1-F00825"",NULL,""29"",NULL,""buying"",""pregnant"",""2024-06-14"",""female"",""2025-07-11 06:01:07"",""2025-07-11 06:01:07"",""18"""
"83,""34"",""1"",""353528-KSGH1-F00925"",NULL,""25"",NULL,""buying"",""healthy"",""2024-06-14"",""female"",""2025-07-11 06:02:24"",""2025-07-11 06:02:24"",""18"""
"84,""34"",""3"",""353528-KSGH1-F01025"",NULL,""21"",NULL,""buying"",""healthy"",""2024-06-14"",""female"",""2025-07-11 06:03:34"",""2025-07-11 06:03:34"",""18"""
"85,""34"",""1"",""353528-KSGH1-M01125"",NULL,""4"",NULL,""buying"",""healthy"",""2025-06-16"",""male"",""2025-07-11 06:04:24"",""2025-07-11 06:04:24"",""16"""
"86,""34"",""3"",""353528-KSGH1-F01425"",NULL,""4"",NULL,""buying"",""dead"",""2025-06-19"",""female"",""2025-07-11 06:05:04"",""2025-07-11 06:06:51"",""18"""
"87,""34"",""1"",""353528-KSGH1-M01325"",NULL,""4"",NULL,""buying"",""healthy"",""2025-06-16"",""male"",""2025-07-11 06:06:18"",""2025-07-11 06:06:18"",""18"""
"88,""34"",""3"",""353528-KSGH1-F01525"",""EKA"",""3"",NULL,""buying"",""healthy"",""2025-07-02"",""female"",""2025-07-11 06:07:51"",""2025-07-18 02:09:32"",""16"""
"89,""35"",""3"",""353528-KBJN4-F00125"",NULL,""33"",NULL,""buying"",""healthy"",""2025-06-30"",""female"",""2025-07-12 12:26:05"",""2025-07-12 12:26:05"",""17"""
"90,""35"",""3"",""353528-KBJN4-F00225"",NULL,""31"",NULL,""buying"",""healthy"",""2025-06-30"",""female"",""2025-07-12 12:28:54"",""2025-07-12 12:28:54"",""17"""
"91,""35"",""3"",""353528-KBJN4-F00325"",NULL,""32"",NULL,""buying"",""pregnant"",""2025-06-30"",""female"",""2025-07-12 12:29:57"",""2025-07-12 12:29:57"",""17"""
"92,""35"",""3"",""353528-KBJN4-F00425"",NULL,""29"",NULL,""buying"",""pregnant"",""2025-06-30"",""female"",""2025-07-12 12:31:25"",""2025-07-12 12:31:25"",""17"""
"93,""35"",""3"",""353528-KBJN4-F00525"",NULL,""32"",NULL,""buying"",""pregnant"",""2025-06-30"",""female"",""2025-07-12 12:32:36"",""2025-07-12 12:32:36"",""17"""
"94,""35"",""3"",""353528-KBJN4-F00625"",NULL,""32"",NULL,""buying"",""pregnant"",""2025-06-30"",""female"",""2025-07-12 12:33:24"",""2025-07-12 12:33:24"",""17"""
"95,""35"",""3"",""353528-KBJN4-F00725"",NULL,""34"",NULL,""buying"",""pregnant"",""2025-06-30"",""female"",""2025-07-12 12:34:12"",""2025-07-12 12:34:12"",""17"""
"96,""35"",""3"",""353528-KBJN4-F00825"",NULL,""23"",NULL,""buying"",""pregnant"",""2025-06-30"",""female"",""2025-07-12 12:34:48"",""2025-07-12 12:34:48"",""17"""
"97,""35"",""3"",""353528-KBJN4-F00925"",NULL,""26"",NULL,""buying"",""healthy"",""2025-06-30"",""female"",""2025-07-12 12:37:18"",""2025-07-12 12:37:18"",""17"""
"98,""35"",""3"",""353528-KBJN4-F01025"",NULL,""34"",NULL,""buying"",""healthy"",""2025-06-30"",""female"",""2025-07-12 12:38:04"",""2025-07-12 12:38:04"",""17"""
"99,""33"",""1"",""353509-STGL1-F01125"",""Zuma"",""5"",NULL,""buying"",""dead"",""2025-07-15"",""female"",""2025-07-15 12:23:44"",""2025-07-25 14:50:17"",""14"""
"100,""33"",""1"",""353509-STGL1-F01225"",""Nila"",""6"",NULL,""buying"",""dead"",""2025-07-15"",""female"",""2025-07-15 12:24:07"",""2025-07-25 14:50:26"",""15"""
"101,""36"",""2"",""353528-SRGL1-F00125"",""Tina"",""27"",NULL,""buying"",""pregnant"",""2025-07-14"",""female"",""2025-07-31 15:01:08"",""2025-07-31 15:01:08"",NULL"
"102,""36"",""2"",""353528-SRGL1-F00225"",""Elisabeth"",""25"",NULL,""buying"",""pregnant"",""2025-07-23"",""female"",""2025-07-31 20:54:46"",""2025-07-31 20:54:46"",""19"""
"103,""36"",""2"",""353528-SRGL1-F00325"",""Cloud"",""32"",NULL,""buying"",""pregnant"",""2025-07-23"",""female"",""2025-07-31 20:55:39"",""2025-07-31 20:55:39"",""19"""
"104,""36"",""2"",""353528-SRGL1-F00425"",""Reaa"",""26"",NULL,""buying"",""pregnant"",""2025-07-23"",""female"",""2025-07-31 20:56:42"",""2025-07-31 20:56:42"",""19"""
"105,""36"",""2"",""353528-SRGL1-F00525"",""Elicia"",""26"",NULL,""buying"",""pregnant"",""2025-07-23"",""female"",""2025-07-31 20:57:28"",""2025-07-31 20:57:28"",""19"""
"106,""36"",""2"",""353528-SRGL1-F00625"",""Moaa"",""31"",NULL,""buying"",""pregnant"",""2025-07-23"",""female"",""2025-07-31 20:58:04"",""2025-07-31 20:58:04"",""19"""
"107,""36"",""2"",""353528-SRGL1-F00725"",""Tici"",""27"",NULL,""buying"",""pregnant"",""2025-07-23"",""female"",""2025-07-31 20:58:51"",""2025-07-31 20:58:51"",""19"""
"108,""36"",""2"",""353528-SRGL1-F00825"",""Ralph"",""34"",NULL,""buying"",""pregnant"",""2025-07-23"",""female"",""2025-07-31 20:59:37"",""2025-07-31 20:59:37"",""19"""
"109,""36"",""2"",""353528-SRGL1-F00925"",""Laurent"",""34"",NULL,""buying"",""pregnant"",""2025-07-23"",""female"",""2025-07-31 21:00:12"",""2025-07-31 21:00:12"",""19"""
"110,""36"",""2"",""353528-SRGL1-M01025"",""Alex"",""30"",NULL,""buying"",""healthy"",""2025-07-23"",""male"",""2025-07-31 21:01:01"",""2025-07-31 21:01:01"",""19"""
